,0,1,2,3,4
0,224.39272099438648,122.61034287651698,144.4735566863319,194.86579477158475,50.14213562373095
1,142.46396047337834,105.52747875037593,148.5183563415489,197.958450110923,52.52730043086545
2,204.67551133961504,105.82673351221578,148.5183563415489,269.1224597332328,52.52730043086545
3,110.20669902635964,110.50607510501115,148.5183563415489,201.14593791939032,52.52730043086545
4,110.20669902635964,110.4072555581291,148.5183563415489,201.21294255716128,52.52730043086545
5,161.70065646308626,80.4161790415718,148.5183563415489,201.14593791939032,52.52730043086545
6,155.07506374327775,152.76561000969966,238.63534163309532,284.0802233793401,109.15424973531626
7,193.8201756177614,194.84170342132145,203.28513804065778,179.94992639992893,170.6773050238362
8,216.883388670461,179.9877189478635,193.72975940217407,156.7132959108139,168.49066569943844
9,209.47544395263816,122.70776287405079,211.5808239183625,274.81070780182597,155.22345769943703
10,255.03155596785018,153.27480285210137,201.23440819935325,217.7706336894894,152.96112616012968
11,85.38425484746811,139.64886821887055,266.1568142564375,320.7218903937872,0.0
12,171.64341002549045,153.06827551576004,245.98456547815266,234.5152344816564,115.56689715790597
13,255.03155596785018,153.1057547469467,201.23440819935325,215.1545252610794,152.96112616012968
