,PTT,Siam Cement,Airports of Thailand,Advanced Info Service,The Siam Commercial Bank,Kasikornbank,CP All,Bangkok Dusit Medical Services,Bangkok Bank,Krung Thai Bank,PTT Exploration and Production,PTT Global Chemical,Central Pattana,Intouch Holdings,True Corporation,Minor International,Bumrungrad International Hospital,Charoen Pokphand Foods,Thai Oil,Land and Houses,BTS Group Holdings,Glow Energy,TMB Bank,Indorama Ventures,Delta Electronics (Thailand),Bangkok Life Assurance,Home Product Center,IRPC,Thai Union Group,EGCO,Siam City Cement,Total Access Communication,Tipco Asphalt,BEC World,Central Plaza Hotel,Pruksa Real Estate,MK Restaurant Group,CH. Karnchang,Srisawad Power 1979,Bangkok Airways,Robinson Department Store,Thanachart Capital,Bangchak Petroleum,TPI Polene,Thai Tap Water Supply,Banpu,WHA Corporation,Italian Thai Development,Carabao Group,Jasmine International
IRPC,,,,,,,,,,,,,,,,,,,,,,,,,,17232,13381,0,8834,6763,14856,12619,6114,17478,4057,8809,32660,13242,9284,38675,14070,12309,24288,17030,35485,13800,30815,21796,14694,14696
Thai Union Group,,,,,,,,,,,,,,,,,,,,,,,,,,8822,4971,7477,0,14058,6447,7502,2928,9069,7815,25,24251,8125,16584,31001,5661,7192,15879,11107,30979,6126,22406,14122,9661,6287
EGCO,,,,,,,,,,,,,,,,,,,,,,,,,,23422,19571,11768,15438,0,21046,19223,15129,23669,10249,15413,38850,19846,4598,39972,20261,18914,30478,25707,39367,21140,37005,29709,21298,20886
Siam City Cement,,,,,,,,,,,,,,,,,,,,,,,,,,4722,5257,16863,13289,23448,0,11019,14735,3456,17205,13264,20120,11207,25970,38546,4563,8724,11748,5951,39815,5638,18275,21667,5561,3893
Total Access Communication,,,,,,,,,,,,,,,,,,,,,,,,,,8333,6930,16247,6820,19897,9693,0,7147,14729,16479,6795,29911,2594,24663,36661,11321,2528,21539,11439,29416,7055,28066,19782,9103,9533
Tipco Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,10391,7623,5231,3812,13863,9098,7597,0,11721,5547,3787,26902,8219,18629,33653,8313,7287,18530,12007,36809,8777,25057,16774,9671,8939
BEC World,,,,,,,,,,,,,,,,,,,,,,,,,,4817,5697,17392,13818,23977,4246,18458,15264,0,17734,13793,17582,19081,26499,32517,5003,8819,5865,6148,45686,10053,15737,15638,5656,4333
Central Plaza Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,13425,9574,1677,8622,7986,11049,15340,5346,13672,0,8597,28853,15962,10513,36598,10264,15030,20481,15710,36718,11722,27008,19718,14264,10889
Pruksa Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,8797,4946,7452,25,14033,6422,7477,2903,9044,7790,0,24226,8100,16559,30976,5636,7167,15853,11082,30954,6100,22381,14097,9636,6262
MK Restaurant Group,,,,,,,,,,,,,,,,,,,,,,,,,,13941,16673,23529,19956,30115,17313,24596,21402,11650,23871,19931,0,25218,32637,28398,17633,22597,4810,14424,51823,16190,9282,11367,14779,17399
CH. Karnchang,,,,,,,,,,,,,,,,,,,,,,,,,,8668,7802,17119,7692,19869,11303,1378,8019,11008,16450,7667,30783,0,25535,37533,12193,2633,22411,12311,26883,7927,28938,20654,9975,10405
Srisawad Power 1979,,,,,,,,,,,,,,,,,,,,,,,,,,25204,21353,13558,21912,4121,22828,25697,16918,25451,12036,21887,39333,26319,0,35441,22043,25387,30961,27489,45196,23501,37488,26943,26043,22668
Bangkok Airways,,,,,,,,,,,,,,,,,,,,,,,,,,33234,29383,34999,29674,41584,27600,34741,31547,33481,35341,29649,26160,35364,34825,0,30073,34432,30787,35519,67244,26418,31786,17289,34073,27440
