Place,lat,long
BTS ChatuChak,13.80303,100.55392
Sanam-Pao,13.77132,100.54152
CentralRama9 MRT,13.75706,100.5653
Soi-SongPrha,13.73143,100.52228
BTS-Siam,13.745339,100.534966
